iptv 2026-05-23 21:53,#genre#
ASTRO CRICKET,http://safetv.vip:8080/live/8gULQeqH3I/kbuahRdUJV/18629.ts
ASTRO PREMIER LEAGUE,http://wanjiatv.net/ydmt/smrt.php?playurl=http://66.90.99.154:8278/go_assp1/playlist.m3u8
ASTRO PREMIER LEAGUE 2,http://wanjiatv.net/ydmt/smrt.php?playurl=http://66.90.99.154:8278/go_assp2/playlist.m3u8
ASTRO PREMIER LEAGUE 3,https://linearjitp-playback.astro.com.my/dash-wv/linear/5108/default_primary.mpd
ASTRO SPORTS PLUS,http://linearjitp-playback.astro.com.my/dash-wv/linear/5171/default_ott.mpd
ASTRO SPORTS UHD,https://linearjitp-playback.astro.com.my/dash-wv/linear/1600/default_ott.mpd
BEIN SPORTS,https://linearjitp-playback.astro.com.my/dash-wv/linear/408/default_primary.mpd
BEIN SPORTS 2,https://linearjitp-playback.astro.com.my/dash-wv/linear/5066/default_primary.mpd
BEIN SPORTS 3,https://linearjitp-playback.astro.com.my/dash-wv/linear/2705/default_primary.mpd
CELEBES TV,https://ams.juraganstreaming.com:5443/LiveApp/streams/celebesmedia.m3u8
DUBAI SPORTS 1,http://dmitnthvll.cdn.mangomolo.com/dubaisports/smil:dubaisports.smil/index.m3u8
DUBAI SPORTS 2,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd/smil:dubaisportshd.smil/index.m3u8
DUBAI SPORTS 3,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd5/smil:dubaisportshd5.smil/index.m3u8
EUROSPORT HD,https://atemeshield1-voe.sysln.id/live/eds/EUROSPORTHD/mpd/EUROSPORTHD.mpd
GOLF CHANNEL HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/1003/default_ott.mpd
M LIVE 1,https://tglmp04.akamaized.net/out/v1/898b1cbac7c747e3b1f3deb460e9b67e/manifest.mpd
M LIVE 2,https://tglmp02.akamaized.net/out/v1/3170252e3fb0453085f2f4b0f8401a6b/manifest.mpd
M LIVE 5,https://tglmp04.akamaized.net/out/v1/6b351c6bf46a43d998e3f86b69cbce4f/manifest.mpd
M LIVE 6,https://tglmp02.akamaized.net/out/v1/6e5a888d4bf847a2be521c55f7bfd08c/manifest.mpd
M LIVE SPL CH01,https://tglmp04.akamaized.net/out/v1/6ec3ff8c3b5649249f9c8a6e2651195a/manifest.mpd
M LIVE SPL CH02,https://tglmp02.akamaized.net/out/v1/06bffdc183074130a6faf73d04502eaa/manifest.mpd
PREMIER SPORTS,https://linearjitp-playback.astro.com.my/dash-wv/linear/2601/default_ott.mpd
RED BULL TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8?xtreamiptv.m3u8
SPOTV,http://linearjitp-playback.astro.com.my/dash-wv/linear/5058/default_ott.mpd
SPOTV2,https://linearjitp-playback.astro.com.my/dash-wv/linear/5079/default_ott.mpd
SUKAN RTM,https://d25tgymtnqzu8s.cloudfront.net/smil:sukan/playlist.m3u8?id=4
W-SPORT,https://linearjitp-playback.astro.com.my/dash-wv/linear/5060/default_ott.mpd
TV1 HD,https://d25tgymtnqzu8s.cloudfront.net/smil:tv1/playlist.m3u8?id=1
TV6,https://d25tgymtnqzu8s.cloudfront.net/smil:tv6/playlist.m3u8?id=6
8TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://66.90.99.154:8278/TV8/playlist.m3u8
AL HIJRAH,http://wanjiatv.net/ydmt/smrt.php?playurl=http://66.90.99.154:8278/Alhijrah_backup/playlist.m3u8
BERNAMA,https://linearjitp-playback.astro.com.my/dash-wv/linear/1114/default_ott.mpd
BERITA RTM,https://d25tgymtnqzu8s.cloudfront.net/smil:berita/playlist.m3u8?id=5
BERITA RTM,https://raw.githubusercontent.com/MIFNtechnology/siaranMy/main/channels/BeritaRTM/index.m3u8
,DEWAN NEGARA,https://d25tgymtnqzu8s.cloudfront.net/smil:negara/playlist.m3u8?id=8
DEWAN RAKYAT,https://d25tgymtnqzu8s.cloudfront.net/smil:rakyat/playlist.m3u8?id=7
SUKE TV,https://live.mana2.my/SukeTv/index.m3u8?auth_key=1761095070-b5540afbca7a4959834f4ff4f1d87fbd-0-b50646165810efcc8cc2e433c755b9d7&token=1761095070-b5540afbca7a4959834f4ff4f1d87fbd-0-b50646165810efcc8cc2e433c755b9d7
ASTRO AOD HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/2706/default_ott.mpd
ASTRO AURA,https://d1sq2slp9afh7o.cloudfront.net/smil:aura/chunklist_b2596000_slENG.m3u8
ASTRO OASIS HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/2505/default_ott.mpd
ASTRO QJ,https://linearjitp-playback.astro.com.my/dash-wv/linear/2507/default_primary.mpd
ASTRO RANIA,https://linearjitp-playback.astro.com.my/dash-wv/linear/608/default_ott.mpd
ASTRO RIA,http://wanjiatv.net/ydmt/smrt.php?playurl=http://66.90.99.154:8278/Ria-0/playlist.m3u8
ASTRO THANGATHIRAI,https://linearjitp-playback.astro.com.my/dash-wv/linear/2109/default_ott.mpd
ASTRO TUTUR TV,https://linearjitp-playback.astro.com.my/dash-wv/linear/5071/default_ott.mpd
ASTRO VAANAVIL,https://linearjitp-playback.astro.com.my/dash-wv/linear/2309/default_ott.mpd
ASTRO VELLITHIRAI,https://linearjitp-playback.astro.com.my/dash-wv/linear/5073/default_ott.mpd
ADITHYA,https://linearjitp-playback.astro.com.my/dash-wv/linear/915/default_ott.mpd
CCTV4 HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/403/default_ott.mpd
CTI ASIA HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/5017/default_ott.mpd
KTV,https://linearjitp-playback.astro.com.my/dash-wv/linear/5088/default_ott.mpd
PHOENIX CHINESE CHANNEL,https://linearjitp-playback.astro.com.my/dash-wv/linear/400/default_ott.mpd
PHOENIX INFO NEWS,https://linearjitp-playback.astro.com.my/dash-wv/linear/5009/default_ott.mpd
STAR VIJAY HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/2707/default_ott.mpd
SUN LIFE,https://linearjitp-playback.astro.com.my/dash-wv/linear/5089/default_ott.mpd
SUN MUSIC HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/5011/default_ott.mpd
SUN NEWS,https://linearjitp-playback.astro.com.my/dash-wv/linear/5087/default_ott.mpd
SUN TV HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/2310/default_ott.mpd
TVB CLASSIC HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/5016/default_ott.mpd
